range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,tcharger,eng_dscr,scharger,guzzler,fueltype2,atvtype,ghgscorea,rangea,evmotor
0,0.0,0.0,94,0.0,CRX,14,0,0.0,-1,N,31.4,23,N,16.9149,2023,Challenger Widebody,Premium,6.4,0.0,0.0,8,523,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,22.5138,0,0,0.0,3,0.0,Challenger,0,17.500588235294117,3950,0,3,523.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,46271,Manual 6-spd,0.0,-10250,0,17.3,Midsize Cars,2022-12-12,14.0551,0.0,2023-02-14,0.0,0.0,17,0.0,0.0,0,0,13,0,0,0.0,,,,G,,,,,
0,0.0,0.0,94,0.0,CRX,18,0,0.0,-1,N,38.1,27,N,21.4055,2023,Challenger AWD,Regular,3.6,0.0,0.0,6,415,0.0,false,All-Wheel Drive,0.0,0,Dodge,26.9053,0,0,0.0,4,0.0,Challenger,0,14.167142857142858,2550,0,4,415.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,16,46272,Automatic 8-spd,0.0,-3250,0,23.0,Midsize Cars,2022-12-12,18.3385,0.0,2023-02-14,0.0,0.0,21,0.0,0.0,0,0,14,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,15,17,0.0,-1,N,34.2974,24,N,17.9386,2023,Charger Widebody,Premium,6.4,0.0,0.0,8,495,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,24.4293,0,0,0.0,4,0.0,Charger,0,16.528333333333336,3750,105,4,495.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,46285,Automatic 8-spd,0.0,-9250,0,18.1912,Large Cars,2022-12-12,14.7354,0.0,2023-03-01,0.0,0.0,18,0.0,0.0,0,0,23,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,7.096666666666667,CRX,10,0,0.0,682,N,23.5284,17,N,12.5323,2023,Challenger SRT Demon 170,Premium or E85,6.2,0.0,0.0,8,708,0.0,false,Rear-Wheel Drive,0.0,13,Dodge,17.1793,0,4950,9.1902,1,0.0,Challenger,0,22.885384615384616,5200,0,1,708.0,0.0,0.0,0.0,0.0,0.0,682.0,Premium Gasoline,16,47512,Automatic 8-spd,0.0,-16500,8,12.4257,Midsize Cars,2023-11-06,10.2613,0.0,2024-03-19,0.0,0.0,13,17.4857,0.0,0,0,26,0,9,0.0,,FFV,S,G,E85,FFV,1.0,166,
0,0.0,0.0,94,0.0,CRX,19,0,0.0,-1,N,43.1,30,N,22.7798,2023,Challenger,Regular,3.6,0.0,0.0,6,389,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,30.0971,0,0,0.0,5,0.0,Challenger,0,12.935217391304349,2350,0,5,389.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,16,46264,Automatic 8-spd,0.0,-2250,0,23.9,Midsize Cars,2022-12-12,19.0003,0.0,2023-02-14,0.0,0.0,23,0.0,0.0,0,0,5,0,0,0.0,,,,,,,,,
0,0.0,0.0,94,0.0,CRX,14,0,0.0,-1,N,31.4,23,N,16.9149,2023,Challenger,Premium,6.4,0.0,0.0,8,523,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,22.5138,0,0,0.0,3,0.0,Challenger,0,17.500588235294117,3950,0,3,523.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,16,46268,Manual 6-spd,0.0,-10250,0,17.3,Midsize Cars,2022-12-12,14.0551,0.0,2023-02-14,0.0,0.0,17,0.0,0.0,0,0,9,0,0,0.0,,,,G,,,,,
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,,41.2,29,Y,23.8649,2025,Hornet AWD,Regular,2.0,0.0,0.0,4,372,0.0,false,All-Wheel Drive,0.0,0,Dodge,28.8926,0,0,0.0,5,0.0,Hornet,0,12.39625,2250,0,5,372.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,47955,Automatic 9-spd,0.0,-1750,0,26.5,Small Sport Utility Vehicle 4WD,2024-05-29,20.8906,0.0,2024-05-29,0.0,0.0,24,0.0,0.0,0,0,511,0,0,0.0,T,SIDI,,,,,,,
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,N,36.3997,26,Y,21.4537,2021,Durango RWD,Regular,3.6,0.0,0.0,6,414,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,25.8035,0,0,0.0,4,0.0,Durango,0,14.167142857142858,2550,0,4,414.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43164,Automatic 8-spd,0.0,-3250,0,23.6996,Standard Sport Utility Vehicle 2WD,2020-09-16,18.8533,0.0,2021-07-12,0.0,0.0,21,0.0,0.0,0,0,541,0,0,0.0,,,,,,,,,
0,0.0,0.0,0,0.0,CRX,12,17,0.0,-1,N,28.4,21,N,15.0483,2021,Charger SRT Widebody,Premium,6.2,0.0,0.0,8,592,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,20.5036,0,0,0.0,2,0.0,Charger,0,19.834,4500,105,2,592.0,0.0,0.0,0.0,0.0,0.0,0.0,Premium Gasoline,0,43454,Automatic 8-spd,0.0,-13000,0,15.1,Large Cars,2020-11-10,12.3581,0.0,2021-07-12,0.0,0.0,15,0.0,0.0,0,0,10,0,0,0.0,,Hellcat engine,S,G,,,,,
0,0.0,0.0,0,0.0,CRX,16,16,0.0,-1,N,35.1989,25,N,19.062,2022,Charger,Midgrade,5.7,0.0,0.0,8,466,0.0,false,Rear-Wheel Drive,0.0,0,Dodge,25.0202,0,0,0.0,4,0.0,Charger,0,15.65842105263158,3250,105,4,466.0,0.0,0.0,0.0,0.0,0.0,0.0,Midgrade Gasoline,0,45081,Automatic 8-spd,0.0,-6750,0,19.8,Large Cars,2022-01-19,15.9536,0.0,2022-12-21,0.0,0.0,19,0.0,0.0,0,0,6,0,0,0.0,,,,,,,,,
