range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,tcharger,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,eng_dscr,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,fueltype2,atvtype,rangea,evmotor,ghgscorea,scharger,guzzler
0,0.0,0.0,80,0.0,FMX,20,0,0.0,-1,N,40.2406,28,T,N,22.9542,2021,Mustang Convertible,Regular,2.3,0.0,0.0,4.0,387,0.0,false,Rear-Wheel Drive,0.0,0,Ford,28.2805,0,0,0.0,5,0.0,Mustang,0,12.935217391304349,2350,0,5,387.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,11,43681,Automatic 10-spd,0.0,-2250,0,25.1174,Subcompact Cars,2021-01-20,19.8894,0.0,2021-08-24,0.0,0.0,23,SIDI,0.0,0.0,0,0,292,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,21,0,0.0,-1,Y,40.3,28,T,Y,23.4295,2021,Edge AWD,Regular,2.0,0.0,0.0,4.0,380,0.0,false,All-Wheel Drive,0.0,0,Ford,28.3185,0,0,0.0,5,0.0,Edge,0,12.935217391304349,2350,0,5,380.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43714,Automatic 8-spd,0.0,-2250,0,26.0,Small Sport Utility Vehicle 4WD,2021-02-02,20.5296,0.0,2021-08-24,0.0,0.0,23,SIDI,0.0,0.0,0,0,44,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,20,0,0.0,-1,N,37.3,26,,N,22.1555,2022,Transit Connect Van FWD,Regular,2.5,0.0,0.0,4.0,401,0.0,false,Front-Wheel Drive,0.0,0,Ford,26.3879,0,0,0.0,5,0.0,Transit Connect,0,13.52318181818182,2450,0,5,401.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43936,Automatic (S6),0.0,-2750,0,24.7,Special Purpose Vehicle 2WD,2021-05-04,19.5853,0.0,2021-08-24,0.0,0.0,22,,0.0,0.0,0,0,7,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,23,0,0.0,-1,N,45.0,30,T,Y,25.9354,2022,Maverick FWD,Regular,2.0,0.0,0.0,4.0,342,0.0,false,Front-Wheel Drive,0.0,0,Ford,30.0,0,0,0.0,5,0.0,Maverick,0,11.442692307692308,2050,0,5,342.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44473,Automatic 8-spd,0.0,-750,0,29.1,Small Pickup Trucks 2WD,2021-09-14,22.7495,0.0,2021-12-20,0.0,0.0,26,SIDI,0.0,0.0,0,0,5,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,21,0,0.0,-1,N,40.3,28,T,Y,23.4295,2022,Edge AWD,Regular,2.0,0.0,0.0,4.0,380,0.0,false,All-Wheel Drive,0.0,0,Ford,28.3185,0,0,0.0,5,0.0,Edge,0,12.935217391304349,2350,0,5,380.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44709,Automatic 8-spd,0.0,-2250,0,26.0,Small Sport Utility Vehicle 4WD,2021-10-26,20.5296,0.0,2022-01-12,0.0,0.0,23,SIDI,0.0,0.0,0,0,49,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,18,0,0.0,-1,N,36.4,26,T,Y,20.7581,2022,Explorer RWD,Regular,3.0,0.0,0.0,6.0,428,0.0,false,Rear-Wheel Drive,0.0,0,Ford,25.8037,0,0,0.0,4,0.0,Explorer,0,14.167142857142858,2550,0,4,428.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44821,Automatic 10-spd,0.0,-3250,0,22.4,Standard Sport Utility Vehicle 2WD,2021-11-04,17.8951,0.0,2022-01-12,0.0,0.0,21,SIDI,0.0,0.0,0,0,153,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,18,0,0.0,-1,N,33.7119,24,T,Y,20.378,2022,F150 Pickup 2WD,Regular,3.5,0.0,0.0,6.0,436,0.0,false,Rear-Wheel Drive,0.0,0,Ford,24.0443,0,0,0.0,4,0.0,F150,0,14.8755,2700,0,4,436.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44867,Automatic (S10),0.0,-4000,0,22.7009,Standard Pickup Trucks 2WD,2021-11-23,18.1177,0.0,2022-01-12,0.0,0.0,20,SIDI & PFI; Stop-Start,0.0,0.0,0,0,110,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,16,0,0.0,-1,N,27.5473,20,T,Y,17.8414,2022,F150 Pickup Tremor 4WD,Regular,3.5,0.0,0.0,6.0,498,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,19.9271,0,0,0.0,3,0.0,F150,0,16.528333333333336,3000,0,3,498.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44876,Automatic (S10),0.0,-5500,0,20.4393,Standard Pickup Trucks 4WD,2021-11-23,16.434,0.0,2022-01-12,0.0,0.0,18,SIDI & PFI; Stop-Start,0.0,0.0,0,0,169,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,21,0,0.0,-1,N,40.7,28,T,Y,23.8687,2022,Explorer RWD,Regular,2.3,0.0,0.0,4.0,370,0.0,false,Rear-Wheel Drive,0.0,0,Ford,28.0,0,0,0.0,5,0.0,Explorer,0,12.39625,2250,0,5,370.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44963,Automatic 10-spd,0.0,-1750,0,26.7,Standard Sport Utility Vehicle 2WD,2021-12-16,21.0347,0.0,2022-01-12,0.0,0.0,24,SIDI; Stop-Start,0.0,0.0,0,0,18,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,20,0,0.0,-1,N,38.4,26,T,Y,22.3773,2022,Explorer AWD,Regular,2.3,0.0,0.0,4.0,404,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,26.0,0,0,0.0,5,0.0,Explorer,0,13.52318181818182,2450,0,5,404.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44977,Automatic 10-spd,0.0,-2750,0,24.7,Standard Sport Utility Vehicle 4WD,2021-12-16,19.5853,0.0,2022-01-12,0.0,0.0,22,SIDI; Stop-Start,0.0,0.0,0,0,206,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,16,0,0.0,-1,Y,31.0852,22,T,Y,18.3676,2022,Expedition 4WD,Regular,3.5,0.0,0.0,6.0,484,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,22.3042,0,0,0.0,3,0.0,Expedition,0,16.528333333333336,3000,0,3,484.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,45152,Automatic (S10),0.0,-5500,0,19.928,Standard Sport Utility Vehicle 4WD,2022-02-16,16.0499,0.0,2022-03-25,0.0,0.0,18,SIDI; Stop-Start,0.0,0.0,0,0,32,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,FMX,17,0,0.0,-1,N,31.6852,23,T,N,18.9186,2023,F150 Pickup 4WD,Regular,3.5,0.0,0.0,6.0,470,0.0,false,Part-time 4-Wheel Drive,0.0,0,Ford,22.7035,0,0,0.0,4,0.0,F150,0,15.65842105263158,2850,0,4,470.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,46171,Automatic (S10),0.0,-4750,0,20.7246,Standard Pickup Trucks 4WD,2022-11-07,16.6478,0.0,2023-04-11,0.0,0.0,19,SIDI & PFI,0.0,0.0,0,0,146,0,0,0.0,,,,,,,
