range,cityuf,citycd,pv2,barrelsa08,mfrcode,city08,lv4,rangehwy,co2a,mpgdata,uhighway,highway08,startstop,comb08u,year,model,fueltype,displ,highwayuf,highwaye,cylinders,co2,charge240,phevblended,drive,highwaya08u,highwaya08,make,highway08u,phevcomb,fuelcosta08,ucitya,ghgscore,combe,basemodel,phevcity,barrels08,fuelcost08,pv4,fescore,co2tailpipegpm,citya08u,charge240b,comba08u,rangecitya,charge120,co2tailpipeagpm,fueltype1,lv2,id,trany,highwaycd,yousavespend,citya08,ucity,vclass,createdon,city08u,combineduf,modifiedon,rangecity,citye,comb08,uhighwaya,rangehwya,phevhwy,hpv,engid,hlv,comba08,combinedcd,tcharger,eng_dscr,atvtype,evmotor,scharger,fueltype2,rangea
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,N,36.0,26,Y,21.5272,2022,Grand Cherokee 4WD,Regular,3.6,0.0,0.0,6,413,0.0,false,4-Wheel Drive,0.0,0,Jeep,25.5432,0,0,0.0,5,0.0,Grand Cherokee,0,13.52318181818182,2450,0,5,413.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44857,Automatic 8-spd,0.0,-2750,0,24.0,Standard Sport Utility Vehicle 4WD,2021-11-16,19.0736,0.0,2022-01-12,0.0,0.0,22,0.0,0.0,0,0,535,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,Y,39.4,27,Y,24.0449,2022,Gladiator Rubic EcoDiesel 4WD,Diesel,3.0,0.0,0.0,6,436,0.0,false,4-Wheel Drive,0.0,0,Jeep,27.0,0,0,0.0,4,0.0,Gladiator,0,14.883125,2350,0,5,436.0,0.0,0.0,0.0,0.0,0.0,0.0,Diesel,0,44898,Automatic 8-spd,0.0,-2250,0,27.6,Standard Pickup Trucks 4WD,2021-12-02,21.0,0.0,2022-10-03,0.0,0.0,24,0.0,0.0,0,0,550,0,0,0.0,T,,Diesel,,,,
0,0.0,0.0,0,0.0,CRX,22,0,0.0,-1,N,41.2,29,Y,24.7211,2022,Wrangler 4dr EcoDiesel 4WD,Diesel,3.0,0.0,0.0,6,411,0.0,false,4-Wheel Drive,0.0,0,Jeep,28.8926,0,0,0.0,5,0.0,Wrangler,0,14.2878,2250,0,5,411.0,0.0,0.0,0.0,0.0,0.0,0.0,Diesel,0,44905,Automatic 8-spd,0.0,-1750,0,28.1996,Small Sport Utility Vehicle 4WD,2021-12-02,22.1093,0.0,2022-10-13,0.0,0.0,25,0.0,0.0,0,0,560,0,0,0.0,T,,Diesel,,,,
0,0.0,0.0,0,0.0,CRX,22,0,0.0,-1,N,37.4997,24,Y,22.8165,2022,Wrangler 2dr 4WD,Regular,2.0,0.0,0.0,4,388,0.0,false,4-Wheel Drive,0.0,0,Jeep,24.0029,0,0,0.0,5,0.0,Wrangler,0,12.935217391304349,2350,0,5,388.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,44907,Automatic 8-spd,0.0,-2250,0,27.9478,Small Sport Utility Vehicle 4WD,2021-12-02,21.9296,0.0,2022-10-13,0.0,0.0,23,0.0,0.0,0,0,562,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,20,0,0.0,-1,N,40.9961,29,Y,22.9779,2020,Cherokee FWD,Regular,3.2,0.0,0.0,6,387,0.0,false,Front-Wheel Drive,0.0,0,Jeep,28.7628,0,0,0.0,5,0.0,Cherokee,0,12.935217391304349,2350,0,5,387.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,41661,Automatic 9-spd,0.0,-2250,0,24.9,Small Sport Utility Vehicle 2WD,2019-07-24,19.7311,0.0,2019-12-18,0.0,0.0,23,0.0,0.0,0,0,3,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,Y,37.6,24,Y,22.0,2021,Wrangler 4dr 4WD,Regular,2.0,0.0,0.0,4,404,0.0,false,4-Wheel Drive,0.0,0,Jeep,23.6939,0,0,0.0,4,0.0,Wrangler,0,13.52318181818182,2450,0,4,404.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42909,Automatic 8-spd,0.0,-2750,0,27.7,Small Sport Utility Vehicle 4WD,2020-08-11,21.0,0.0,2021-06-02,0.0,0.0,22,0.0,0.0,0,0,531,0,0,0.0,T,SIDI,,,,,
0,0.0,0.0,0,0.0,CRX,17,0,0.0,-1,Y,34.4988,25,Y,19.9011,2021,Wrangler 2dr 4WD,Regular,3.6,0.0,0.0,6,446,0.0,false,4-Wheel Drive,0.0,0,Jeep,24.5615,0,0,0.0,4,0.0,Wrangler,0,14.8755,2700,0,4,446.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,42910,Manual 6-spd,0.0,-4000,0,21.5,Small Sport Utility Vehicle 4WD,2020-08-11,17.2268,0.0,2020-11-18,0.0,0.0,20,0.0,0.0,0,0,550,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,21,0,0.0,-1,Y,41.2,26,Y,23.0,2021,Wrangler Rubic 4dr EcoDiesel 4WD,Diesel,3.0,0.0,0.0,6,442,0.0,false,4-Wheel Drive,0.0,0,Jeep,26.0,0,0,0.0,4,0.0,Wrangler,0,15.530217391304348,2450,0,5,442.0,0.0,0.0,0.0,0.0,0.0,0.0,Diesel,0,42966,Automatic 8-spd,0.0,-2750,0,28.1996,Small Sport Utility Vehicle 4WD,2020-08-24,21.0,0.0,2021-06-02,0.0,0.0,23,0.0,0.0,0,0,561,0,0,0.0,T,,Diesel,,,,
0,0.0,0.0,0,0.0,CRX,19,0,0.0,-1,N,36.3997,26,Y,21.4537,2021,Grand Cherokee 2WD,Regular,3.6,0.0,0.0,6,414,0.0,false,Rear-Wheel Drive,0.0,0,Jeep,25.8035,0,0,0.0,4,0.0,Grand Cherokee,0,14.167142857142858,2550,0,4,414.0,0.0,0.0,0.0,0.0,0.0,0.0,Regular Gasoline,0,43165,Automatic 8-spd,0.0,-3250,0,23.6996,Standard Sport Utility Vehicle 2WD,2020-09-16,18.8533,0.0,2020-11-18,0.0,0.0,21,0.0,0.0,0,0,554,0,0,0.0,,,,,,,
0,0.0,0.0,0,0.0,CRX,14,0,0.0,-1,N,30.1,22,N,16.6887,2022,Grand Cherokee 4WD,Midgrade,5.7,0.0,0.0,8,533,0.0,false,All-Wheel Drive,0.0,0,Jeep,21.6461,0,0,0.0,3,0.0,Grand Cherokee,0,17.500588235294117,3650,0,3,533.0,0.0,0.0,0.0,0.0,0.0,0.0,Midgrade Gasoline,0,44674,Automatic 8-spd,0.0,-8750,0,17.3,Standard Sport Utility Vehicle 4WD,2021-10-18,14.0551,0.0,2021-10-26,0.0,0.0,17,0.0,0.0,0,0,536,0,0,0.0,,,,,,,
